periodo_id	desde	hasta	notas
m2_mensual	2026-06-01	2026-06-30	M2 dentro del JM
quincena_rrss	2026-06-16	2026-06-30	Análisis RRSS
junio_sem1	2026-06-05	2026-06-11	Semana vie-jue de junio — alta para la demo del 12/08
junio_sem2	2026-06-12	2026-06-18	Semana vie-jue de junio — alta para la demo del 12/08
junio_sem3	2026-06-19	2026-06-25	Semana vie-jue de junio — alta para la demo del 12/08
julio_24_30	2026-07-24	2026-07-30	Semana vie-jue del informe vigente — alta para la demo del 12/08
julio_24_30	2026-07-24	2026-07-30	Semana vie-jue del informe vigente — alta para la demo del 12/08
vie 14/08 -- jue 20/08 (por defecto)	2026-08-14	2026-08-20	Puesto a mano
agosto_14_20	2026-08-14	2026-08-20	Semana vie-jue que el motor propone al 20/08 (R-11 Addendum 2). Alta para destrabar la carga de temario.
